City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
277,Byumba,RW,-1.5763,30.0675,57.4,89,24,2.1,few clouds
278,Ambagarh Chauki,IN,20.7833,80.7167,89.49,37,89,11.07,overcast clouds
279,Hambantota,LK,6.1241,81.1185,81.66,73,74,0.36,broken clouds
280,Ruscova,RO,47.7883,24.2808,33.71,81,8,2.24,clear sky
281,Zaraza,VE,9.3503,-65.3245,77.22,80,87,6.24,overcast clouds
282,Khangarh,PK,29.9173,71.1618,69.87,14,0,4.54,clear sky
283,Taoudenni,ML,22.6783,-3.9836,73.98,18,0,10.04,clear sky
284,Chimbote,PE,-9.0853,-78.5783,69.21,84,53,5.06,broken clouds
285,Keti Bandar,PK,24.1447,67.4497,79.43,67,0,8.81,clear sky
286,Galle,LK,6.0367,80.217,80.94,76,26,4.79,scattered clouds
287,Pozo Colorado,PY,-23.4923,-58.7972,61.93,53,1,3.36,clear sky
288,Totness,SR,5.8833,-56.3167,77.02,86,55,12.06,broken clouds
289,Inhambane,MZ,-23.865,35.3833,75.43,90,100,2.55,moderate rain
290,Big Rapids,US,43.6981,-85.4837,35.67,93,100,11.5,overcast clouds
291,Naryan-Mar,RU,67.6713,53.087,-1.79,98,19,6.55,few clouds
292,Oranjemund,NA,-28.55,16.4333,55.58,95,2,2.73,clear sky
293,Madinat Sittah Uktubar,EG,29.8167,31.05,51.4,79,0,7.94,clear sky
294,Hajipur,IN,25.6833,85.2167,82.38,47,0,4.61,haze
295,Alenquer,BR,-1.9417,-54.7383,74.71,91,19,3.4,few clouds
296,Ambilobe,MG,-13.2,49.05,74.12,95,40,2.26,scattered clouds
297,Hvide Sande,DK,56.0045,8.1294,45.09,92,45,23.49,scattered clouds
298,Lodwar,KE,3.1191,35.5973,78.22,67,17,6.02,moderate rain
299,Quievrain,BE,50.4074,3.6835,45.57,80,0,7.92,clear sky
300,Conceicao Da Barra,BR,-18.5933,-39.7322,75.04,90,17,5.01,few clouds
301,Spring Hill,US,28.4769,-82.5255,65.82,65,10,1.99,clear sky
302,Kodyma,UA,48.0988,29.1246,34.03,78,7,6.29,clear sky
303,Maracaibo,VE,10.6317,-71.6406,81.7,70,15,10.47,few clouds
304,Sandy Bay,AU,-42.913,147.3532,78.26,56,20,10.36,few clouds
305,Plettenberg Bay,ZA,-34.0527,23.3716,62.29,81,100,6.71,overcast clouds
306,Moussoro,TD,13.6408,16.4901,71.49,14,18,17.07,few clouds
307,Muisne,EC,0.6,-80.0333,77.25,89,99,4.76,light rain
308,Cherusti,RU,55.5498,40.0107,34.32,96,100,11.43,overcast clouds
309,Den Helder,NL,52.9599,4.7593,44.98,94,29,3.0,mist
310,Halifax,CA,44.6453,-63.5724,40.89,98,100,11.99,overcast clouds
311,Floro,NO,61.5996,5.0328,39.16,60,20,9.22,few clouds
312,Ponta Delgada,PT,37.7333,-25.6667,61.52,88,75,28.77,broken clouds
313,Dunmore Town,BS,25.5,-76.65,72.95,70,100,14.63,overcast clouds
314,Moroto,UG,2.5345,34.6666,67.23,78,42,2.48,scattered clouds
315,Sarkand,KZ,45.41,79.9186,40.19,68,76,5.97,broken clouds
316,Agadez,NE,19.75,10.25,69.35,13,54,8.93,broken clouds
317,Pemba,MZ,-12.974,40.5178,77.76,86,42,2.77,scattered clouds
318,Marzuq,YE,14.4,46.4667,66.81,48,0,4.56,clear sky
319,Abnub,EG,27.2696,31.1511,49.64,57,0,8.59,clear sky
320,Basqal,AZ,40.7552,48.391,28.85,84,80,2.82,broken clouds
321,Sept-Iles,CA,50.2001,-66.3821,28.92,94,100,16.11,snow
322,Nalut,LY,30.3333,10.85,58.62,25,2,24.76,clear sky
323,Kutum,SD,14.2,24.6667,56.19,20,80,13.62,broken clouds
324,Hwange,ZW,-18.3693,26.5019,66.81,95,68,2.3,light rain
325,San Pedro,PH,14.35,121.0167,90.63,63,20,6.91,few clouds
326,Cascais,PT,38.6979,-9.4215,58.46,70,48,14.0,scattered clouds
327,Richards Bay,ZA,-28.783,32.0377,68.43,92,89,6.31,light rain
328,Obo,CF,5.3998,26.4869,70.02,20,3,4.38,clear sky
329,Conceicao Do Araguaia,BR,-8.2578,-49.2647,73.42,92,15,1.74,few clouds
330,Vigia,BR,-0.8583,-48.1417,75.7,93,100,5.75,overcast clouds
331,Pasni,PK,25.2631,63.471,80.11,43,0,7.25,clear sky
332,Kapasan,ID,-6.7773,111.3789,86.81,67,91,1.86,overcast clouds
333,Saint-Pierre,RE,-21.3393,55.4781,77.92,76,0,5.75,clear sky
334,Ipixuna,BR,-1.7625,-48.8043,73.99,97,85,3.09,overcast clouds
335,Cockburn Town,TC,21.4612,-71.1419,78.08,71,66,18.34,broken clouds
336,Abu Dhabi,AE,24.4667,54.3667,73.96,84,0,10.36,clear sky
337,Anloga,GH,5.7947,0.8973,82.27,85,22,9.82,few clouds
338,Karabulak,RU,43.3036,44.8964,32.99,92,100,6.22,overcast clouds
339,Menongue,AO,-14.6585,17.691,60.75,93,42,1.72,scattered clouds
340,Adwa,ET,14.1646,38.8955,61.12,59,4,3.38,clear sky
341,Porosozero,RU,62.7191,32.727,31.23,98,100,9.6,light snow
